round_epochs,val_loss,loss,n_batch_size,n_epochs,optimizer,losses,n_neurons,prev_timesteps
10,0.09408256171090587,0.01286568014006456,38,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,52,12
10,0.012942698255627584,0.00036637358126757885,60,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,33,12
10,0.13040007103190598,0.04169029848487139,38,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,90,1
106,0.015476413122189375,0.006008387129307929,60,106,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,90,1
202,0.00039089820239359904,3.388794353563605e-05,60,202,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,33,24
58,0.00035712335405190356,8.247642578445198e-05,83,58,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,24
106,0.014914714134911447,0.006050710543602436,38,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,81,24
58,0.005718216634959341,0.005659255802589144,105,58,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,81,1
106,0.018131311771452774,0.004734105778681756,38,106,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,14,6
10,0.12219692212277893,0.023787718633968266,16,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,52,24
58,0.017219288284445942,0.008652611991062237,83,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,52,1
10,0.09123443561296146,0.008285515599567767,16,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,14,6
202,0.007847360300178562,0.003563498999202879,38,202,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,5,3
154,0.022492541881528074,0.004220772725414209,38,154,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,71,12
106,0.041250307393230275,0.005764202796288071,16,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,33,12
106,0.0010226262118015073,9.139939408532901e-05,105,106,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,43,12
58,0.0016040266608865475,0.00015401381625260036,105,58,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,62,1
58,0.01004659004590715,0.006894307803849023,38,58,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,52,12
10,0.008955044913532275,0.0002687954634244635,60,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,24,6
106,0.014047139388219186,0.005959121905728487,60,106,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,14,12
58,0.00015702513108260021,8.505006469027485e-05,60,58,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,43,6
202,0.00438208992638115,0.0028117431101921083,105,202,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,71,3
202,7.561438347922961e-05,2.862298668823163e-05,60,202,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,81,6
106,0.013421091274980586,0.004464805503352804,60,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,5,12
106,0.00584325982965751,0.004615302865236513,60,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,71,3
10,0.0659221459617799,0.016444556018213662,83,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,33,1
106,0.006694095416778476,0.00410683983818428,60,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,14,1
10,0.006362705128441757,0.000521636909131537,38,10,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,24
106,0.010409503205267385,0.0056526087320864695,83,106,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,14,6
106,0.01516560127526569,0.006038943942082523,60,106,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,62,3
10,0.04502613325131658,0.0004781643135750419,16,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,43,6
106,0.003342615541423762,0.000108958122894517,16,106,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,71,1
10,0.03776939058121138,0.017723145098665922,83,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,43,12
154,0.0002885669554740219,5.2857991955920574e-05,38,154,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,43,3
58,4.648693301279964e-05,3.22530741482249e-05,83,58,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,62,24
154,0.03873460966429252,0.004681196002468217,16,154,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,71,12
202,0.0023803744798549078,2.664788588095757e-05,16,202,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,62,1
106,0.0013591593183294797,9.951050020414148e-05,105,106,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,81,6
58,0.010465623891839535,0.00010247797535539011,16,58,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,24,24
106,0.0027976521458021133,9.450970686997572e-05,16,106,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,43,3
10,0.10601473488936375,0.014385022156996696,38,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,62,24
106,0.00013603697334669689,2.764541202313099e-05,83,106,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,52,12
10,0.021567507313932286,0.0008369365812755258,83,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,14,1
202,0.0003658628456337349,4.3739680978878365e-05,38,202,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,90,3
10,0.0021927441652487578,0.0003268204928154768,83,10,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,52,12
106,0.00017827750509123575,6.231017418115608e-05,38,106,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,24
10,0.13103112385478194,0.010419911336099512,16,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,71,1
10,0.016341115929273047,0.0004313236365478539,60,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,62,3
154,0.00024381757364565928,5.3005008719496504e-05,38,154,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,71,1
10,0.020766387921541965,0.0003720837021865277,38,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,43,3
154,0.010806464610657684,0.006273115932260117,105,154,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,43,24
154,0.023697309532535068,0.0042062811806902614,38,154,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,24,1
58,0.005922001186804211,0.004735792717331546,60,58,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,71,12
10,0.1263010041169965,0.0241673113979566,16,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,52,6
106,0.0014094382954379701,6.362256464301633e-05,60,106,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,14,24
202,4.558332219384919e-05,1.4863873441924798e-05,83,202,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,52,3
154,0.001052974105480762,4.630716403660824e-05,60,154,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,71,24
154,0.012682073211916826,0.005818606682039075,83,154,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,71,1
10,0.11830359845083356,0.010051112741696492,16,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,71,12
202,0.040764418851610695,0.002829006260657209,16,202,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,62,1
