,device,gpsLat,gpsLon,rx_time,seqNumber,spfact,IPT
6196,3432333864377C18,51.19748306274414,4.407177448272705,2018-12-20 08:18:42.358,16333.0,10.0,39.0
6197,3432333864377C18,51.195823669433594,4.404543399810791,2018-12-20 08:19:10.505,16334.0,10.0,28.0
6198,3432333864377C18,51.19465637207031,4.402697563171387,2018-12-20 08:19:48.581,16335.0,8.0,38.0
6199,3432333864377C18,51.19456481933594,4.40200138092041,2018-12-20 08:20:10.456,16336.0,7.0,21.0
6200,3432333864377C18,51.19492721557617,4.400429725646973,2018-12-20 08:20:26.920,16337.0,7.0,16.0
6715,3432333864377C18,51.21540451049805,4.408421516418457,2018-12-20 14:53:55.469,17089.0,9.0,38.0
6716,3432333864377C18,51.21540832519531,4.408421993255615,2018-12-20 14:54:23.736,17090.0,10.0,28.0
6719,3432333864377C18,51.2154426574707,4.408401966094971,2018-12-20 14:57:05.373,17095.0,10.0,39.0
6720,3432333864377C18,51.21543884277344,4.408408164978027,2018-12-20 14:57:33.608,17096.0,10.0,28.0
6722,3432333864377C18,51.215415954589844,4.4083733558654785,2018-12-20 14:59:18.062,17099.0,9.0,65.0
6723,3432333864377C18,51.215423583984375,4.408371925354004,2018-12-20 14:59:36.065,17100.0,9.0,18.0
6728,3432333864377C18,51.215431213378906,4.408366680145264,2018-12-20 15:02:22.796,17105.0,10.0,39.0
6729,3432333864377C18,51.21542739868164,4.408371448516846,2018-12-20 15:02:49.004,17106.0,9.0,26.0
6750,3432333864377C18,51.21537780761719,4.408400058746338,2018-12-20 15:19:50.901,17137.0,10.0,43.0
6751,3432333864377C18,51.21537780761719,4.408411979675293,2018-12-20 15:20:14.556,17138.0,10.0,23.0
6752,3432333864377C18,51.21537399291992,4.408419132232666,2018-12-20 15:20:57.242,17139.0,10.0,42.0
6753,3432333864377C18,51.21536636352539,4.408435821533203,2018-12-20 15:21:20.486,17140.0,10.0,23.0
6755,3432333864377C18,51.21535873413086,4.408442497253418,2018-12-20 15:23:09.912,17143.0,10.0,43.0
6756,3432333864377C18,51.21534729003906,4.408459663391113,2018-12-20 15:23:33.569,17144.0,10.0,23.0
6757,3432333864377C18,51.21533966064453,4.408461093902588,2018-12-20 15:24:16.654,17145.0,10.0,43.0
6758,3432333864377C18,51.21533966064453,4.408462047576904,2018-12-20 15:24:39.506,17146.0,10.0,22.0
6759,3432333864377C18,51.21533966064453,4.408466339111328,2018-12-20 15:25:22.325,17147.0,9.0,42.0
6760,3432333864377C18,51.215335845947266,4.4084577560424805,2018-12-20 15:25:45.222,17148.0,9.0,22.0
6790,3432333864377C18,51.21531677246094,4.408434867858887,2018-12-20 15:49:18.994,17193.0,10.0,38.0
